time_sec,CUBIC_0_karma,CUBIC_0_qdepth,CUBIC_0_drops,RENO_1_karma,RENO_1_qdepth,RENO_1_drops,ILLINOIS_2_karma,ILLINOIS_2_qdepth,ILLINOIS_2_drops,HTCP_3_karma,HTCP_3_qdepth,HTCP_3_drops
0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.38,0,0,0,0,0,0,0,0,0,0,0,0
0.82,100,1,1,88,1,3,100,11,2,96,8,0
1.28,100,3,0,84,3,1,100,5,0,92,1,0
1.72,100,2,0,88,3,0,100,3,0,96,1,0
2.22,100,2,0,92,2,0,100,2,2,92,1,0
2.61,88,2,0,100,2,0,88,1,1,100,5,0
3.08,84,1,1,80,3,1,100,5,0,100,3,0
3.55,92,3,0,96,2,0,100,3,0,100,2,1
4.06,96,4,0,92,1,0,100,3,0,96,1,1
4.54,100,3,0,100,6,0,92,6,0,84,3,1
4.96,96,4,0,100,4,0,100,3,0,100,3,0
5.41,92,1,1,100,2,0,92,7,1,84,3,0
5.85,88,2,2,100,3,0,96,2,1,92,3,0
6.33,88,2,2,100,2,0,92,2,0,100,5,0
6.77,94,3,0,100,3,1,97,3,0,100,2,0
7.2,100,5,0,100,2,0,100,4,1,100,1,1
7.64,100,4,0,91,3,1,100,1,1,100,3,0
8.09,91,2,1,100,4,0,94,2,1,100,2,0
8.54,100,2,0,100,5,2,100,5,0,97,4,0
8.95,100,1,0,98,5,0,88,1,0,100,4,0
9.41,96,1,0,88,3,0,100,4,0,100,1,0
9.88,100,3,0,100,3,0,94,2,0,96,2,1
10.37,100,2,0,94,4,1,96,2,0,100,3,0
10.83,100,1,0,100,1,1,100,2,0,100,2,0
11.29,100,4,0,100,5,0,100,1,0,95,1,0
11.75,100,3,0,100,2,0,100,2,0,100,7,0
12.21,100,3,0,100,4,0,100,2,0,100,3,0
12.62,100,4,0,95,2,1,100,2,0,100,4,0
13.08,100,2,0,100,5,0,100,3,0,100,6,0
13.54,100,2,0,100,5,1,100,2,0,100,1,0
14.01,100,3,0,98,1,1,88,7,4,100,3,0
14.47,98,2,0,100,4,1,99,3,0,100,8,0
14.86,100,2,1,90,6,2,100,3,0,100,1,0
15.3,100,4,1,98,3,2,100,1,0,100,4,0
15.75,100,1,0,100,6,0,100,2,1,100,1,0
16.22,100,3,0,100,3,1,100,1,0,100,3,0
16.68,99,1,0,100,2,0,90,2,1,100,3,0
17.13,100,2,0,95,7,0,100,3,0,100,2,0
17.6,100,2,0,98,2,0,100,3,1,100,2,0
18.08,100,6,0,100,4,0,94,1,0,100,4,0
18.49,95,1,1,100,1,1,100,3,0,100,2,2
18.94,100,4,0,100,3,0,100,1,0,99,4,0
19.38,100,4,0,98,1,0,98,3,0,100,3,0
19.83,100,4,0,100,2,1,98,4,0,100,3,0
20.26,100,4,0,100,2,1,100,2,0,100,1,1
20.72,100,4,0,100,4,1,100,1,0,100,3,0
21.18,100,5,0,100,3,0,94,1,0,99,1,0
21.59,100,7,1,100,1,1,100,1,0,100,3,0
22.06,100,4,0,95,3,0,100,2,0,100,2,2
22.49,100,2,0,95,6,0,95,5,0,100,1,0
22.95,100,2,0,100,2,0,100,2,0,95,2,0
23.43,99,6,0,100,2,0,100,2,0,100,3,0
23.89,95,2,0,100,3,1,100,3,0,100,3,0
24.35,100,2,0,100,3,0,100,3,0,94,2,0
24.79,100,1,0,99,5,0,100,1,0,100,1,0
25.28,100,5,1,100,2,0,94,1,0,95,4,0
25.72,100,4,0,100,3,1,100,1,0,100,6,0
26.18,100,3,0,100,2,0,98,2,1,100,2,1
26.61,100,3,0,98,2,0,94,1,0,100,3,0
27.06,99,1,0,100,4,0,100,1,0,100,4,0
27.51,100,6,1,100,3,0,98,3,1,100,3,0
27.95,96,4,2,90,1,0,100,3,0,100,2,0
28.38,100,2,0,100,5,0,99,1,0,100,2,0
28.88,100,4,0,90,1,0,100,2,0,100,3,0
29.33,100,4,0,100,3,1,100,4,1,100,2,0
29.8,100,4,0,100,2,0,99,4,0,100,6,0
